user_id,article_url,clicked,read_time_seconds,rating,timestamp
0,https://www.lennysnewsletter.com/p/how-to-build-your-pm-second-brain,0,0,0,2025-12-24 16:56:01.794162
0,https://www.lennysnewsletter.com/p/how-to-spot-a-top-1-startup-early,1,49,3,2025-12-19 16:56:01.794334
0,https://www.lennysnewsletter.com/p/a-holiday-gift-guide-for-tech-people,1,289,5,2025-12-17 16:56:01.794412
0,https://www.lennysnewsletter.com/p/part-2-of-how-to-get-the-most-out,1,310,4,2025-12-25 16:56:01.794477
0,https://www.lennysnewsletter.com/p/how-to-get-the-most-out-of-your-product,1,449,4,2025-12-08 16:56:01.794545
0,https://newsletter.pragmaticengineer.com/p/the-pragmatic-engineer-in-2025,1,615,4,2025-12-26 16:56:01.794629
0,https://newsletter.pragmaticengineer.com/p/the-pulse-157-internal-dev-tooling,1,91,5,2025-12-09 16:56:01.794672
0,https://newsletter.pragmaticengineer.com/p/how-aws-deals-with-a-major-outage,0,0,0,2025-12-28 16:56:01.794687
0,https://newsletter.pragmaticengineer.com/p/frictionless-why-great-developer,1,804,5,2025-12-26 16:56:01.794853
0,https://newsletter.pragmaticengineer.com/p/the-pulse-155,0,0,0,2025-12-24 16:56:01.794868
0,https://blog.bytebytego.com/p/how-meta-built-a-new-ai-powered-ads,0,0,0,2025-12-30 16:56:01.794885
0,https://blog.bytebytego.com/p/how-linkedin-built-an-ai-powered,1,199,3,2025-12-13 16:56:01.794981
0,https://blog.bytebytego.com/p/ep193-database-types-you-should-know,1,259,4,2025-12-26 16:56:01.795037
0,https://newsletter.systemdesign.one/p/distributed-systems,1,107,3,2025-12-18 16:56:01.795173
0,https://newsletter.systemdesign.one/p/cloud-system-design,0,0,0,2025-12-25 16:56:01.795188
0,https://newsletter.systemdesign.one/p/stock-exchange-system-design,1,339,4,2025-12-04 16:56:01.795250
1,https://www.lennysnewsletter.com/p/a-year-free-of-posthog-16500-value,1,181,5,2025-12-14 16:56:01.795647
1,https://www.lennysnewsletter.com/p/a-holiday-gift-guide-for-tech-people,1,435,4,2025-12-04 16:56:01.795711
1,https://www.lennysnewsletter.com/p/ecosystem-is-the-next-big-growth,1,433,5,2025-12-22 16:56:01.795777
1,https://www.lennysnewsletter.com/p/part-2-of-how-to-get-the-most-out,1,372,5,2025-12-23 16:56:01.795832
1,https://www.lennysnewsletter.com/p/a-builders-guide-to-living-a-long,1,687,4,2025-12-15 16:56:01.795936
1,https://www.lennysnewsletter.com/p/how-to-get-the-most-out-of-your-product,1,465,4,2025-12-07 16:56:01.795995
1,https://newsletter.pragmaticengineer.com/p/the-pulse-157-internal-dev-tooling,1,26,3,2025-12-23 16:56:01.796035
1,https://newsletter.pragmaticengineer.com/p/the-history-of-servers-the-cloud,0,0,0,2025-12-12 16:56:01.796048
1,https://newsletter.pragmaticengineer.com/p/frictionless-why-great-developer,1,196,3,2025-12-05 16:56:01.796181
1,https://newsletter.pragmaticengineer.com/p/mcp-deepdive,0,0,0,2025-12-15 16:56:01.796194
1,https://newsletter.pragmaticengineer.com/p/copy-holiday-gift-ideas-for-techies-2025,0,0,0,2026-01-02 16:56:01.796206
1,https://blog.bytebytego.com/p/ep195-common-network-protocols-every,1,64,3,2025-12-21 16:56:01.796246
1,https://blog.bytebytego.com/p/ep194-evolution-of-http,0,0,0,2025-12-07 16:56:01.796260
1,https://blog.bytebytego.com/p/how-meta-built-a-new-ai-powered-ads,0,0,0,2025-12-20 16:56:01.796271
1,https://blog.bytebytego.com/p/how-linkedin-built-an-ai-powered,1,19,3,2025-12-13 16:56:01.796532
1,https://newsletter.systemdesign.one/p/how-mcp-works,0,0,0,2025-12-09 16:56:01.796565
1,https://newsletter.systemdesign.one/p/design-a-chat-system,1,64,3,2025-12-22 16:56:01.796651
1,https://newsletter.systemdesign.one/p/distributed-systems,1,184,3,2025-12-21 16:56:01.796743
2,https://www.lennysnewsletter.com/p/ai-tools-are-overdelivering-results,1,184,3,2025-12-27 16:56:01.797251
2,https://www.lennysnewsletter.com/p/ecosystem-is-the-next-big-growth,0,0,0,2026-01-02 16:56:01.797270
2,https://www.lennysnewsletter.com/p/part-2-of-how-to-get-the-most-out,1,317,4,2025-12-04 16:56:01.797329
2,https://www.lennysnewsletter.com/p/a-builders-guide-to-living-a-long,0,0,0,2025-12-29 16:56:01.797343
2,https://www.lennysnewsletter.com/p/everyone-should-be-using-claude-code,1,36,3,2026-01-02 16:56:01.797413
2,https://www.lennysnewsletter.com/p/introducing-the-gain-framework-for,0,0,0,2025-12-09 16:56:01.797426
2,https://newsletter.pragmaticengineer.com/p/the-pulse-157-internal-dev-tooling,0,0,0,2025-12-07 16:56:01.797439
2,https://newsletter.pragmaticengineer.com/p/frictionless-why-great-developer,1,1166,4,2025-12-26 16:56:01.797814
2,https://newsletter.pragmaticengineer.com/p/being-a-founding-engineer-at-an-ai,0,0,0,2025-12-19 16:56:01.797900
2,https://newsletter.pragmaticengineer.com/p/code-security,0,0,0,2025-12-14 16:56:01.797944
2,https://blog.bytebytego.com/p/message-brokers-101-storage-replication,0,0,0,2025-12-06 16:56:01.797979
2,https://blog.bytebytego.com/p/ep195-common-network-protocols-every,1,143,5,2025-12-07 16:56:01.798122
2,https://blog.bytebytego.com/p/learn-ai-in-the-new-year-become-an,1,4,3,2025-12-15 16:56:01.798193
2,https://blog.bytebytego.com/p/ep194-evolution-of-http,1,205,4,2025-12-10 16:56:01.798341
2,https://blog.bytebytego.com/p/how-meta-built-a-new-ai-powered-ads,0,0,0,2025-12-26 16:56:01.798373
2,https://blog.bytebytego.com/p/how-linkedin-built-an-ai-powered,0,0,0,2026-01-02 16:56:01.798403
2,https://blog.bytebytego.com/p/top-ai-agentic-workflow-patterns,1,41,3,2025-12-30 16:56:01.798623
2,https://blog.bytebytego.com/p/ep193-database-types-you-should-know,0,0,0,2025-12-17 16:56:01.798661
2,https://newsletter.systemdesign.one/p/system-design-stock-exchange,1,320,4,2025-12-09 16:56:01.798790
2,https://newsletter.systemdesign.one/p/whatsapp-system-design,1,74,3,2025-12-09 16:56:01.798987
2,https://newsletter.systemdesign.one/p/distributed-systems,1,653,4,2025-12-20 16:56:01.799250
2,https://newsletter.systemdesign.one/p/disruptor-pattern,1,193,5,2025-12-20 16:56:01.799398
2,https://newsletter.systemdesign.one/p/cloud-system-design,1,272,3,2025-12-03 16:56:01.799717
2,https://newsletter.systemdesign.one/p/code-review-best-practices,1,124,3,2025-12-07 16:56:01.799959
3,https://www.lennysnewsletter.com/p/a-year-free-of-posthog-16500-value,0,0,0,2025-12-10 16:56:01.801159
3,https://www.lennysnewsletter.com/p/a-builders-guide-to-living-a-long,0,0,0,2025-12-26 16:56:01.801238
3,https://newsletter.pragmaticengineer.com/p/the-pulse-157-internal-dev-tooling,0,0,0,2025-12-04 16:56:01.801281
3,https://newsletter.pragmaticengineer.com/p/the-history-of-servers-the-cloud,0,0,0,2025-12-25 16:56:01.801316
3,https://newsletter.pragmaticengineer.com/p/how-aws-deals-with-a-major-outage,0,0,0,2025-12-30 16:56:01.801349
3,https://newsletter.pragmaticengineer.com/p/being-a-founding-engineer-at-an-ai,1,256,5,2025-12-30 16:56:01.801701
3,https://blog.bytebytego.com/p/message-brokers-101-storage-replication,0,0,0,2025-12-08 16:56:01.801763
3,https://blog.bytebytego.com/p/multimodal-llms-basics-how-llms-process,0,0,0,2025-12-10 16:56:01.801801
3,https://blog.bytebytego.com/p/top-ai-agentic-workflow-patterns,0,0,0,2025-12-27 16:56:01.801835
3,https://blog.bytebytego.com/p/ep193-database-types-you-should-know,0,0,0,2025-12-27 16:56:01.801868
