user_id,signup_date
0,2025-01-01
1,2025-01-01
2,2025-01-01
3,2025-01-01
4,2025-01-01
5,2025-01-01
6,2025-01-01
7,2025-01-01
8,2025-01-01
9,2025-01-01
10,2025-01-01
11,2025-01-01
12,2025-01-01
13,2025-01-01
14,2025-01-01
15,2025-01-01
16,2025-01-01
17,2025-01-01
18,2025-01-01
19,2025-01-01
20,2025-01-01
21,2025-01-01
22,2025-01-01
23,2025-01-01
24,2025-01-01
25,2025-01-01
26,2025-01-01
27,2025-01-01
28,2025-01-01
29,2025-01-01
30,2025-01-01
31,2025-01-01
32,2025-01-01
33,2025-01-01
34,2025-01-01
35,2025-01-01
36,2025-01-01
37,2025-01-01
38,2025-01-01
39,2025-01-01
40,2025-01-01
41,2025-01-01
42,2025-01-01
43,2025-01-01
44,2025-01-01
45,2025-01-01
46,2025-01-01
47,2025-01-01
48,2025-01-01
49,2025-01-01
50,2025-01-01
51,2025-01-01
52,2025-01-01
53,2025-01-01
54,2025-01-01
55,2025-01-01
56,2025-01-01
57,2025-01-01
58,2025-01-01
59,2025-01-01
60,2025-01-01
61,2025-01-01
62,2025-01-01
63,2025-01-01
64,2025-01-01
65,2025-01-01
66,2025-01-01
67,2025-01-01
68,2025-01-01
69,2025-01-01
70,2025-01-01
71,2025-01-01
72,2025-01-01
73,2025-01-01
74,2025-01-01
75,2025-01-01
76,2025-01-01
77,2025-01-01
78,2025-01-01
79,2025-01-01
80,2025-01-01
81,2025-01-01
82,2025-01-01
83,2025-01-01
84,2025-01-01
85,2025-01-01
86,2025-01-01
87,2025-01-01
88,2025-01-01
89,2025-01-01
90,2025-01-01
91,2025-01-01
92,2025-01-01
93,2025-01-01
94,2025-01-01
95,2025-01-01
96,2025-01-01
97,2025-01-01
98,2025-01-01
99,2025-01-01
